,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
3073,09-04-2008,RELIANCE,EQ,2381.75,2355.0,2431.8,2351.05,2425.5,2418.25,2396.3,2281967,547000000000000.0,838353.0,0.3674
3074,10-04-2008,RELIANCE,EQ,2418.25,2425.0,2519.4,2406.0,2465.0,2468.65,2472.89,3666638,907000000000000.0,1553250.0,0.4236
3075,11-04-2008,RELIANCE,EQ,2468.65,2540.0,2567.0,2465.5,2548.55,2551.55,2529.31,4286756,1080000000000000.0,1700521.0,0.3967
3076,15-04-2008,RELIANCE,EQ,2551.55,2514.9,2637.0,2486.35,2620.0,2611.8,2577.42,4266890,1100000000000000.0,1652755.0,0.3873
3077,16-04-2008,RELIANCE,EQ,2611.8,2620.05,2666.0,2615.3,2649.9,2642.5,2646.65,3601987,953000000000000.0,1757891.0,0.488
3078,17-04-2008,RELIANCE,EQ,2642.5,2680.2,2718.0,2620.5,2635.2,2640.05,2655.53,2506892,666000000000000.0,1102623.0,0.4398
3079,21-04-2008,RELIANCE,EQ,2640.05,2629.7,2680.0,2622.1,2645.0,2643.6,2651.63,2114344,561000000000000.0,909939.0,0.4304
3080,22-04-2008,RELIANCE,EQ,2643.6,2601.0,2675.0,2597.15,2600.85,2607.35,2630.33,2872718,756000000000000.0,1379314.0,0.4801
3081,23-04-2008,RELIANCE,EQ,2607.35,2612.0,2632.0,2568.0,2574.8,2577.6,2596.33,3176219,825000000000000.0,1502183.0,0.4729
3082,24-04-2008,RELIANCE,EQ,2577.6,2600.0,2600.0,2556.35,2570.0,2582.65,2578.51,3303999,852000000000000.0,1916816.0,0.5802
3083,25-04-2008,RELIANCE,EQ,2582.65,2590.0,2634.0,2562.0,2626.0,2624.5,2597.28,3370534,875000000000000.0,1699278.0,0.5042
3084,28-04-2008,RELIANCE,EQ,2624.5,2631.0,2645.0,2582.55,2590.0,2591.4,2606.45,2041983,532000000000000.0,987960.0,0.4838
3085,29-04-2008,RELIANCE,EQ,2591.4,2580.0,2675.0,2580.0,2661.0,2659.95,2639.34,2486561,656000000000000.0,1201582.0,0.4832
3086,30-04-2008,RELIANCE,EQ,2659.95,2650.0,2675.0,2606.6,2608.0,2614.5,2629.39,2737552,720000000000000.0,1716968.0,0.6272
3087,02-05-2008,RELIANCE,EQ,2614.5,3026.0,3026.0,2629.0,2679.0,2674.75,2658.55,2409509,641000000000000.0,1162595.0,0.4825
